db_id,artistName,trackName,albumName,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
1,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
2,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
3,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
4,SOFTBOYCISCO,Me and You,"""Awaken, My Love!""",0.545,0.442,5,-12.111,1,0.0352,0.0104,0.0271,0.0664,0.242,118.073
5,Harry Callaghan,Detach the Wheatley Core,Detach the Wheatley Core,0.576,0.633,9,-8.903,0,0.0517,0.578,0.0,0.118,0.766,134.901
6,Justin Timberlake,Summer Love,FutureSex/LoveSounds,0.606,0.591,0,-7.228,0,0.087,0.0756,0.0,0.328,0.477,95.802
7,The Dreadnoughts,Sally Brown,Cyder Punks Unite,0.762,0.337,11,-11.271,1,0.357,0.805,0.0,0.339,0.822,86.134
8,宝鐘マリン,Ahoy!! 我ら宝鐘海賊団☆,Ahoy!! 我ら宝鐘海賊団☆,0.458,0.984,2,-2.488,1,0.248,0.0563,0.000588,0.0931,0.269,170.033
9,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
10,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
11,宝鐘マリン,Ahoy!! 我ら宝鐘海賊団☆,Ahoy!! 我ら宝鐘海賊団☆,0.458,0.984,2,-2.488,1,0.248,0.0563,0.000588,0.0931,0.269,170.033
12,Gawr Gura,REFLECT,REFLECT,0.646,0.813,4,-9.007,0,0.0863,0.0275,0.0,0.115,0.679,125.075
13,The Living Tombstone,Discord,Discord,0.676,0.835,8,-4.382,0,0.044,0.00682,3.04E-05,0.081,0.8,104.987
14,Ryan Chang,Crossroads,PERSONA5 ORIGINAL SOUNDTRACK,0.75,0.275,0,-18.71,1,0.0497,0.826,0.812,0.155,0.689,95.064
15,Harry Callaghan,Detach the Wheatley Core,Detach the Wheatley Core,0.576,0.633,9,-8.903,0,0.0517,0.578,0.0,0.118,0.766,134.901
16,Brooksie,Not Into You,Not Into You,0.641,0.678,3,-4.943,1,0.0355,0.221,0.573,0.279,0.495,100.035
17,The Stupendium,The Fine Print,The Fine Print (The Outer Worlds Song),0.764,0.905,0,-4.114,1,0.194,0.293,0.0,0.584,0.772,91.047
18,DECO*27,The Vampire,The Vampire,0.555,0.955,1,-4.073,0,0.048,0.0096,0.0,0.329,0.955,164.028
19,Kawai Sprite,M.I.L.F,"Friday Night Funkin', Vol. 1 (Original Game Soundtrack)",0.513,0.91,11,-7.177,0,0.0567,0.041,0.431,0.065,0.43,180.155
20,Lemon Demon,Cabinet Man,Spirit Phone,0.725,0.497,10,-7.929,1,0.057,0.0519,0.017,0.137,0.954,171.988
21,ReoNa,ないない,ないない,0.626,0.758,5,-4.643,0,0.0436,0.0152,0.0,0.14,0.821,130.047
22,Kawai Sprite,M.I.L.F,"Friday Night Funkin', Vol. 1 (Original Game Soundtrack)",0.513,0.91,11,-7.177,0,0.0567,0.041,0.431,0.065,0.43,180.155
23,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
24,Get Scared,Sarcasm,Best Kind Of Mess,0.387,0.929,7,-4.825,0,0.161,0.00238,7.22E-06,0.314,0.591,180.359
25,Di Young,Pixel Pig,Pixel Pig,0.779,0.935,7,-5.324,1,0.0344,0.00797,0.813,0.935,0.517,119.968
26,Lemon Demon,Cabinet Man,Spirit Phone,0.725,0.497,10,-7.929,1,0.057,0.0519,0.017,0.137,0.954,171.988
27,Ryan Chang,A Home For Flowers,OMORI Lofi Mixtape,0.727,0.366,7,-13.064,1,0.0354,0.648,0.906,0.198,0.382,90.007
28,The Living Tombstone,My Ordinary Life,My Ordinary Life,0.648,0.827,9,-4.78,0,0.042,0.00533,0.338,0.217,0.598,176.005
29,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
30,The Living Tombstone,My Ordinary Life,My Ordinary Life,0.648,0.827,9,-4.78,0,0.042,0.00533,0.338,0.217,0.598,176.005
31,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
32,The Living Tombstone,My Ordinary Life,My Ordinary Life,0.648,0.827,9,-4.78,0,0.042,0.00533,0.338,0.217,0.598,176.005
33,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
34,The Living Tombstone,My Ordinary Life,My Ordinary Life,0.648,0.827,9,-4.78,0,0.042,0.00533,0.338,0.217,0.598,176.005
35,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
36,The Living Tombstone,My Ordinary Life,My Ordinary Life,0.648,0.827,9,-4.78,0,0.042,0.00533,0.338,0.217,0.598,176.005
37,Penelope Scott,Rät,Public Void,0.609,0.449,5,-13.291,0,0.249,0.326,0.000115,0.147,0.309,143.854
38,Nayutalien,Alien Alien,Nayutan Sei Kara No Buttai Y,0.52,0.973,7,-0.565,1,0.0868,0.011,4.02E-06,0.0629,0.594,151.939
39,Ryan Chang,Sugar Star Planetarium,OMORI Lofi Mixtape Vol. 2,0.365,0.495,0,-12.039,1,0.0334,0.619,0.793,0.795,0.734,79.98
40,Gawr Gura,Sharkventure!!,Hololive English -Myth- Image Soundtrack(ft. Camellia),0.569,0.952,11,-2.5,0,0.0457,0.0104,0.266,0.475,0.649,117.917
41,Kawai Sprite,Ugh,"Friday Night Funkin', Vol. 2 (Original Game Soundtrack)",0.5,0.856,0,-7.317,1,0.0473,0.0115,0.000256,0.278,0.504,160.071
42,Lone Alpha,By The Seaside,By The Seaside,0.776,0.447,0,-13.74,1,0.0876,0.141,0.288,0.135,0.538,146.059
43,The Living Tombstone,Discord,Discord,0.676,0.835,8,-4.382,0,0.044,0.00682,3.04E-05,0.081,0.8,104.987
44,TUYU,dämonisch,dämonisch,0.405,0.97,7,-1.92,1,0.258,0.0596,0.0,0.106,0.526,99.289
45,Ryan Chang,By Your Side,"Omori (Original Game Soundtrack), Pt.1",0.586,0.122,8,-17.881,0,0.0332,0.992,0.902,0.123,0.508,176.136
46,Heiakim,super idol but it's chill,super idol but it's chill,0.86,0.4,9,-10.158,1,0.0515,0.733,0.528,0.119,0.47,124.017
47,TUYU,Trapped in the past,Trapped in the past,0.624,0.843,11,-4.115,1,0.0642,0.428,0.0,0.375,0.895,89.991
48,Reol,ヒビカセ,No title-,0.711,0.764,6,-2.308,0,0.203,0.00206,0.000667,0.0538,0.835,139.988
49,Mili,String Theocracy,To Kill a Living Book -for Library Of Ruina-,0.655,0.78,7,-5.622,0,0.0486,0.174,0.0,0.332,0.659,116.027
50,Mori Calliope,Q,Q,0.586,0.93,10,-5.027,0,0.209,0.134,6.56E-06,0.375,0.725,177.809
51,DECO*27,Cinderella,Cinderella Snapped,0.752,0.522,1,-5.993,1,0.0507,0.0193,0.0,0.105,0.65,139.936
52,Shirobon,Undertale - Spider Dance - Shirobon Remix,Undertale - Spider Dance (Shirobon Remix),0.565,0.946,1,-4.325,1,0.0375,0.000356,0.899,0.044,0.772,115.006
53,Seycara Orchestral,Honeycrisp,Honeycrisp,0.757,0.303,3,-7.444,1,0.0378,0.857,0.0,0.0796,0.712,114.574
54,Rare Americans,Brittle Bones Nicky,Brittle Bones Nicky,0.773,0.744,1,-6.103,0,0.0689,0.182,0.0,0.239,0.71,129.954
55,The Chalkeaters,Count to Three,Count to Three,0.78,0.72,2,-7.361,1,0.158,0.427,0.0,0.25,0.786,120.954
56,Hiseki,Miez eyes,Miez eyes,0.692,0.603,0,-11.719,1,0.0524,0.00507,1.03E-05,0.12,0.631,119.994
57,Kanaria,ENVY BABY,ENVY BABY,0.637,0.66,6,-7.155,0,0.114,0.0424,0.0126,0.278,0.893,170.936
58,Scissor Sisters,I Can't Decide,Ta Dah,0.69,0.795,3,-4.956,1,0.0312,0.255,0.0,0.202,0.872,96.99
59,Heiakim,kanna,3 (Original Motion Picture Soundtrack),0.574,0.496,8,-7.153,0,0.0277,0.431,0.0,0.399,0.61,109.935
60,宝鐘マリン,Unison,Unison,0.65,0.565,1,-10.735,0,0.0712,0.0389,0.0396,0.0261,0.648,159.971
61,Leat'eq,Tokyo,Tokyo,0.743,0.879,5,-2.717,0,0.0339,0.0725,0.00141,0.081,0.636,101.968
62,Valentine,Her (Strider White Remix),Her (Strider White Remix),0.671,0.76,2,-4.018,1,0.196,0.0139,0.0,0.34,0.451,92.446
63,Mad Tsai,Boy Bi,Boy Bi,0.712,0.606,5,-5.066,1,0.218,0.62,0.0,0.688,0.747,129.998
64,demon gummies,under the alolan moon,pokemon snap,0.617,0.204,1,-20.866,1,0.053,0.928,0.934,0.118,0.158,119.973
65,RichaadEB,Bad Apple!! - English Remaster,Bullet Hell II,0.556,0.961,1,-3.845,1,0.113,0.000351,0.683,0.358,0.439,137.955
66,Kawai Sprite,Stress,Blurryface,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29E-05,0.0602,0.648,169.977
67,Kanaria,KING,KING,0.579,0.784,8,-6.002,1,0.0609,0.0486,0.0161,0.109,0.924,166.013
68,majiko,命に嫌われている。,命に嫌われている。,0.727,0.833,0,-3.384,1,0.0443,0.065,0.0,0.122,0.525,99.985
69,bo en,My Time,Pale Machine,0.445,0.361,5,-7.503,1,0.0941,0.608,0.0,0.112,0.0677,119.797
70,OR3O,All Eyes on Me,All Eyes on Me,0.563,0.808,5,-4.728,0,0.0944,0.207,1.32E-06,0.282,0.372,110.023
