db_id,artistName,albumName,trackName,id,albumID,uri,duration_ms
0,Vertigoat,Hu Tao Rap,Hu Tao Rap,55yBkn64FlQfJhMK6L8JHr,1WgCgVWb8ek2L4ItLy403l,spotify:track:55yBkn64FlQfJhMK6L8JHr,187783
1,Vertigoat,Hu Tao Rap,Hu Tao Rap,55yBkn64FlQfJhMK6L8JHr,1WgCgVWb8ek2L4ItLy403l,spotify:track:55yBkn64FlQfJhMK6L8JHr,187783
2,Vertigoat,Hu Tao Rap,Hu Tao Rap,55yBkn64FlQfJhMK6L8JHr,1WgCgVWb8ek2L4ItLy403l,spotify:track:55yBkn64FlQfJhMK6L8JHr,187783
3,Vertigoat,Hu Tao Rap,Hu Tao Rap,55yBkn64FlQfJhMK6L8JHr,1WgCgVWb8ek2L4ItLy403l,spotify:track:55yBkn64FlQfJhMK6L8JHr,187783
4,SOFTBOYCISCO,"""Awaken, My Love!""",Me and You,4AFsRbaLKRWo3dDtjDFA2V,7caGY3YPOchIO8xLvTKWN4,spotify:track:4AFsRbaLKRWo3dDtjDFA2V,379227
5,Harry Callaghan,Detach the Wheatley Core,Detach the Wheatley Core,4GkdXSpDtYFYY25sxQpaYY,4fhlUaz59b2B8jDyQyO8Co,spotify:track:4GkdXSpDtYFYY25sxQpaYY,180891
6,Justin Timberlake,FutureSex/LoveSounds,Summer Love,1MBM7CyZbwJpVbbZJnHHRg,2scB1uhcCI1TSf6b9TCZK3,spotify:track:1MBM7CyZbwJpVbbZJnHHRg,252973
7,The Dreadnoughts,Cyder Punks Unite,Sally Brown,7hToIMqJUBHPOhU2O9p1Oi,40TD3t0i1dHDZyM8rkSnTn,spotify:track:7hToIMqJUBHPOhU2O9p1Oi,97941
8,宝鐘マリン,Ahoy!! 我ら宝鐘海賊団☆,Ahoy!! 我ら宝鐘海賊団☆,7gl0IJpIHu1TtNT4hNiv9H,7GB3J6RUw32TYEm7OpjDlk,spotify:track:7gl0IJpIHu1TtNT4hNiv9H,307991
9,Vertigoat,Hu Tao Rap,Hu Tao Rap,55yBkn64FlQfJhMK6L8JHr,1WgCgVWb8ek2L4ItLy403l,spotify:track:55yBkn64FlQfJhMK6L8JHr,187783
10,Vertigoat,Hu Tao Rap,Hu Tao Rap,55yBkn64FlQfJhMK6L8JHr,1WgCgVWb8ek2L4ItLy403l,spotify:track:55yBkn64FlQfJhMK6L8JHr,187783
11,宝鐘マリン,Ahoy!! 我ら宝鐘海賊団☆,Ahoy!! 我ら宝鐘海賊団☆,7gl0IJpIHu1TtNT4hNiv9H,7GB3J6RUw32TYEm7OpjDlk,spotify:track:7gl0IJpIHu1TtNT4hNiv9H,307991
12,Gawr Gura,REFLECT,REFLECT,0B96zn11fA3apNGZqERmPO,1lHZW9pX9v8lofTrhXo9MN,spotify:track:0B96zn11fA3apNGZqERmPO,247680
13,The Living Tombstone,Discord,Discord,611nlMA40SKg9gQ4pTVXT3,43zCo4E3RoYyj2tkeZWJCF,spotify:track:611nlMA40SKg9gQ4pTVXT3,193776
14,Ryan Chang,PERSONA5 ORIGINAL SOUNDTRACK,Crossroads,4MTd4s3GZfYwUF6JTW9L7F,4pJT0WKggr4xk149X8A6KC,spotify:track:4MTd4s3GZfYwUF6JTW9L7F,54040
15,Harry Callaghan,Detach the Wheatley Core,Detach the Wheatley Core,4GkdXSpDtYFYY25sxQpaYY,4fhlUaz59b2B8jDyQyO8Co,spotify:track:4GkdXSpDtYFYY25sxQpaYY,180891
16,Brooksie,Not Into You,Not Into You,1eFYbcVZBTKcE0iFIYU5qk,5JG9GZ1BSc223HhQAAHbCX,spotify:track:1eFYbcVZBTKcE0iFIYU5qk,157800
17,The Stupendium,The Fine Print (The Outer Worlds Song),The Fine Print,73MWNenV7mQGUdXB8npY4H,1LHVxeoquWZUcPT7T3Of6V,spotify:track:73MWNenV7mQGUdXB8npY4H,274286
18,DECO*27,The Vampire,The Vampire,5Atjzvg5qZcWZhXwZkHqPO,26gt4PLLgE5SNkKa5eUlyw,spotify:track:5Atjzvg5qZcWZhXwZkHqPO,178235
19,Kawai Sprite,"Friday Night Funkin', Vol. 1 (Original Game Soundtrack)",M.I.L.F,0VfMdTYBS675BBmEs54G4c,0FUY1iMeo3mzcbdsEZOIfV,spotify:track:0VfMdTYBS675BBmEs54G4c,124667
20,Lemon Demon,Spirit Phone,Cabinet Man,0lrtYwuy37bJzsO2LHz2kj,4ocal2JegUDVQdP6KN1roI,spotify:track:0lrtYwuy37bJzsO2LHz2kj,262675
21,ReoNa,ないない,ないない,1VVFJeC7AWaDcC6eCr3XqV,32zJ24dBNSbpAb5Ivc7Osp,spotify:track:1VVFJeC7AWaDcC6eCr3XqV,254093
22,Kawai Sprite,"Friday Night Funkin', Vol. 1 (Original Game Soundtrack)",M.I.L.F,0VfMdTYBS675BBmEs54G4c,0FUY1iMeo3mzcbdsEZOIfV,spotify:track:0VfMdTYBS675BBmEs54G4c,124667
23,Black Gryph0n,Insane,Insane,5flerg6aEao2VayZezVlgu,3o5Dz1PLFlYXplnsp5zZxh,spotify:track:5flerg6aEao2VayZezVlgu,159714
24,Get Scared,Best Kind Of Mess,Sarcasm,40i81AcCCxiVEFUWElcjZC,3xkOfH5nqIMm4b8qDWlzLj,spotify:track:40i81AcCCxiVEFUWElcjZC,198080
25,Di Young,Pixel Pig,Pixel Pig,2NCKZeWIu9lqUDfeLKAzfM,5ENsw8J0mX1LtVfjvGEQ3R,spotify:track:2NCKZeWIu9lqUDfeLKAzfM,173315
26,Lemon Demon,Spirit Phone,Cabinet Man,0lrtYwuy37bJzsO2LHz2kj,4ocal2JegUDVQdP6KN1roI,spotify:track:0lrtYwuy37bJzsO2LHz2kj,262675
27,Ryan Chang,OMORI Lofi Mixtape,A Home For Flowers,5ALhYcsm5INfpntiaDUJrh,50klX3ifqHVhgzVMs3Tyhl,spotify:track:5ALhYcsm5INfpntiaDUJrh,200028
28,The Living Tombstone,My Ordinary Life,My Ordinary Life,6tMdpUXfT70TD6Eh3XfB1p,4AmFZET7RGujQAhG80kjwu,spotify:track:6tMdpUXfT70TD6Eh3XfB1p,230895
29,Black Gryph0n,Insane,Insane,5flerg6aEao2VayZezVlgu,3o5Dz1PLFlYXplnsp5zZxh,spotify:track:5flerg6aEao2VayZezVlgu,159714
30,The Living Tombstone,My Ordinary Life,My Ordinary Life,6tMdpUXfT70TD6Eh3XfB1p,4AmFZET7RGujQAhG80kjwu,spotify:track:6tMdpUXfT70TD6Eh3XfB1p,230895
31,Black Gryph0n,Insane,Insane,5flerg6aEao2VayZezVlgu,3o5Dz1PLFlYXplnsp5zZxh,spotify:track:5flerg6aEao2VayZezVlgu,159714
32,The Living Tombstone,My Ordinary Life,My Ordinary Life,6tMdpUXfT70TD6Eh3XfB1p,4AmFZET7RGujQAhG80kjwu,spotify:track:6tMdpUXfT70TD6Eh3XfB1p,230895
33,Black Gryph0n,Insane,Insane,5flerg6aEao2VayZezVlgu,3o5Dz1PLFlYXplnsp5zZxh,spotify:track:5flerg6aEao2VayZezVlgu,159714
34,The Living Tombstone,My Ordinary Life,My Ordinary Life,6tMdpUXfT70TD6Eh3XfB1p,4AmFZET7RGujQAhG80kjwu,spotify:track:6tMdpUXfT70TD6Eh3XfB1p,230895
35,Black Gryph0n,Insane,Insane,5flerg6aEao2VayZezVlgu,3o5Dz1PLFlYXplnsp5zZxh,spotify:track:5flerg6aEao2VayZezVlgu,159714
36,The Living Tombstone,My Ordinary Life,My Ordinary Life,6tMdpUXfT70TD6Eh3XfB1p,4AmFZET7RGujQAhG80kjwu,spotify:track:6tMdpUXfT70TD6Eh3XfB1p,230895
37,Penelope Scott,Public Void,Rät,4blPH3Uy89WnOnYlIv7Ev4,49iT8dV8hZ5o7bqpOI5yfI,spotify:track:4blPH3Uy89WnOnYlIv7Ev4,194165
38,Nayutalien,Nayutan Sei Kara No Buttai Y,Alien Alien,3va7Q99A1EJk8eAZ2DV74v,1TYuswsDlzdBI88xoYgO4P,spotify:track:3va7Q99A1EJk8eAZ2DV74v,181974
39,Ryan Chang,OMORI Lofi Mixtape Vol. 2,Sugar Star Planetarium,6qj7bqw6QitR6RShWPLXdY,2CVxX9CDvWtnc9MIEsI6I2,spotify:track:6qj7bqw6QitR6RShWPLXdY,166688
40,Gawr Gura,Hololive English -Myth- Image Soundtrack(ft. Camellia),Sharkventure!!,4tX8tHJxTOZ0Dd9At2UIs8,3FMSNQPrpkCa3whS2nO3nx,spotify:track:4tX8tHJxTOZ0Dd9At2UIs8,268674
41,Kawai Sprite,"Friday Night Funkin', Vol. 2 (Original Game Soundtrack)",Ugh,2V4y0qYqfdlfiv6aIsBtCS,6pi3jaRWRps4UYmFavwTLi,spotify:track:2V4y0qYqfdlfiv6aIsBtCS,87375
42,Lone Alpha,By The Seaside,By The Seaside,6tn7suOCa5fJpScvXV9Ovh,3LrLsce8ZimzAsogemAsqX,spotify:track:6tn7suOCa5fJpScvXV9Ovh,215192
43,The Living Tombstone,Discord,Discord,611nlMA40SKg9gQ4pTVXT3,43zCo4E3RoYyj2tkeZWJCF,spotify:track:611nlMA40SKg9gQ4pTVXT3,193776
44,TUYU,dämonisch,dämonisch,66VlNqRXQEookzsBPjhdOX,1J2kaWBMxFahEvtC5Vzu5i,spotify:track:66VlNqRXQEookzsBPjhdOX,160928
45,Ryan Chang,"Omori (Original Game Soundtrack), Pt.1",By Your Side,06r2yQOiQYB1Ra4KYEdskL,3SDU0tsnoMO841qeOHlP8B,spotify:track:06r2yQOiQYB1Ra4KYEdskL,96950
46,Heiakim,super idol but it's chill,super idol but it's chill,0Y1eh3hzT4700xANxvv1zT,6UVLrRj8uNRDAuCcMlOHkn,spotify:track:0Y1eh3hzT4700xANxvv1zT,112258
47,TUYU,Trapped in the past,Trapped in the past,5cGTr7yx9wo6NkgQV4eqdW,4BG97uWNo2Dloxbg1Bwa5M,spotify:track:5cGTr7yx9wo6NkgQV4eqdW,229333
48,Reol,No title-,ヒビカセ,0H1iMm1pO61srixV0rGYRe,5qPZrSLh2oecfujdUZqgmy,spotify:track:0H1iMm1pO61srixV0rGYRe,250552
49,Mili,To Kill a Living Book -for Library Of Ruina-,String Theocracy,7ETSUd74fhHvG2JldNVizV,1OVibN37sJiU2M9cCbL950,spotify:track:7ETSUd74fhHvG2JldNVizV,174170
50,Mori Calliope,Q,Q,51CXAV2GNNL3deCtcXpCeu,2tY2MPx2BIAwqK93HLYkR0,spotify:track:51CXAV2GNNL3deCtcXpCeu,159080
51,DECO*27,Cinderella Snapped,Cinderella,3udCid1W2whR6CQrVpsKUh,7iUDdeaEqO2asWLp8zPE3n,spotify:track:3udCid1W2whR6CQrVpsKUh,173103
52,Shirobon,Undertale - Spider Dance (Shirobon Remix),Undertale - Spider Dance - Shirobon Remix,7jGOCUXjQvvpJGq4GAlHRS,5ecb9WFck0J4BDIYIZah94,spotify:track:7jGOCUXjQvvpJGq4GAlHRS,109244
53,Seycara Orchestral,Honeycrisp,Honeycrisp,3mCqyfOinJ7pOqOqsOMljN,7BjvKnt8vn1E05arlBjuCo,spotify:track:3mCqyfOinJ7pOqOqsOMljN,196000
54,Rare Americans,Brittle Bones Nicky,Brittle Bones Nicky,0Pne7iPkdfhZFh45nhBhHz,4lvWCC5z1FRSWIsdHIxPzH,spotify:track:0Pne7iPkdfhZFh45nhBhHz,202933
55,The Chalkeaters,Count to Three,Count to Three,6E3TudlZucyt2fxE8Ljgw6,4mIxswh115QQ6PnE1Zppa2,spotify:track:6E3TudlZucyt2fxE8Ljgw6,179500
56,Hiseki,Miez eyes,Miez eyes,0llfMN1D1pY4Mm3R56sh9y,2v7tUmGeybZNL0rcuhK6D0,spotify:track:0llfMN1D1pY4Mm3R56sh9y,110520
57,Kanaria,ENVY BABY,ENVY BABY,7rPKtXBW35rSQH1i6QAvyk,0rp0Htb5EVN4G9boRMNPk4,spotify:track:7rPKtXBW35rSQH1i6QAvyk,135789
58,Scissor Sisters,Ta Dah,I Can't Decide,1zyGFId8xHOcRmCmehrwlc,3YIdZQ7UbWoTxPgznAYVOC,spotify:track:1zyGFId8xHOcRmCmehrwlc,166573
59,Heiakim,3 (Original Motion Picture Soundtrack),kanna,2MwCoo4GeXpi8soWn9EiPo,3KxiTZwnVuot6XVWRqh4PZ,spotify:track:2MwCoo4GeXpi8soWn9EiPo,205947
60,宝鐘マリン,Unison,Unison,5erw0k8hLca8iP36AhFMsE,4qPOHt6LSGY2WCEZGDrDwt,spotify:track:5erw0k8hLca8iP36AhFMsE,246750
61,Leat'eq,Tokyo,Tokyo,2Anpk7AihEt38POoMEDqRb,6d3HWabKzWkK630NH33OOK,spotify:track:2Anpk7AihEt38POoMEDqRb,174118
62,Valentine,Her (Strider White Remix),Her (Strider White Remix),1mCtupwrj0LpL8gkeaMuF2,3y7zNpn9aDB8nRfpNXffoZ,spotify:track:1mCtupwrj0LpL8gkeaMuF2,192641
63,Mad Tsai,Boy Bi,Boy Bi,69IWaFnC4EqPTIJ3fMq7sL,7FVz71CHCHfn3UGeF2g8NX,spotify:track:69IWaFnC4EqPTIJ3fMq7sL,142596
64,demon gummies,pokemon snap,under the alolan moon,1IXGr1fO6A9zU7Ri39f9Yc,0AVXHLOVd7c10A77ZeNnCY,spotify:track:1IXGr1fO6A9zU7Ri39f9Yc,224000
65,RichaadEB,Bullet Hell II,Bad Apple!! - English Remaster,64flSHeka6CUoz8XgCmgiT,7K8URwf6BeFpzg7dE2TU1W,spotify:track:64flSHeka6CUoz8XgCmgiT,299891
66,Kawai Sprite,Blurryface,Stress,3CRDbSIZ4r5MsZ0YwxuEkn,3cQO7jp5S9qLBoIVtbkSM1,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,202333
67,Kanaria,KING,KING,1y70lFnhDN7rPmrl15BtPd,55F9mwBpB9DRA9g52b8ZGJ,spotify:track:1y70lFnhDN7rPmrl15BtPd,134750
68,majiko,命に嫌われている。,命に嫌われている。,2lXu7SNGIKHJ8EV2EetYFa,269VLkFLdR0j82eY9kTBCG,spotify:track:2lXu7SNGIKHJ8EV2EetYFa,274587
69,bo en,Pale Machine,My Time,0wZUJxxybEiafs0BIg9SAP,1a2UnYDnfK25QJKfgHNHnu,spotify:track:0wZUJxxybEiafs0BIg9SAP,313969
70,OR3O,All Eyes on Me,All Eyes on Me,0gg5h5BgdjVlXTti79TUao,2kOw2vtpI2FxttuzfP0rfU,spotify:track:0gg5h5BgdjVlXTti79TUao,242774
71,Dan Bull,Generation Gaming X,You're Special! - Fallout 4 Song,1uCJyNYMyMsShFdejhppNK,4M799cAO8K4HLL1i288jSz,spotify:track:1uCJyNYMyMsShFdejhppNK,248936
